# Game.exe Function Todo List
# Format: [ ] FUN_address @ address or [ ] Ordinal_number @ address
# Generated by functions-extract.ps1 on 11/18/2025 15:46:03
# Total functions: 230 (FUN_ and Ordinal_ functions (all functions))
#

[X] _memmove @ 02c61000
[X] ___crtExitProcess @ 02c6133d
[ ] LockExitHandlerTable @ 02c6136d
[ ] ReleaseCriticalSectionIndex8 @ 02c61376
[ ] __initterm @ 02c6137f
[ ] __cinit @ 02c61397
[ ] doexit @ 02c61401
[ ] ValidateStackCookieBeforeExit @ 02c614b0
[ ] _exit @ 02c614c4
[ ] __exit @ 02c614d5
[ ] __cexit @ 02c614e6
[ ] __CRT_INIT@12 @ 02c614f5
[ ] entry @ 02c61676
[ ] __amsg_exit @ 02c6175a
[ ] __mtinitlocks @ 02c6178d
[ ] __mtdeletelocks @ 02c617d6
[ ] UnlockCriticalSectionByIndex @ 02c6182b
[ ] __mtinitlocknum @ 02c61840
[ ] UnlockCriticalSection10 @ 02c618d7
[ ] __lock @ 02c618e0
[ ] __onexit_lk @ 02c61911
[ ] ___onexitinit @ 02c61991
[ ] __onexit @ 02c619b9
[ ] UnlockExitHandlerTable @ 02c619eb
[ ] _atexit @ 02c619f1
[ ] __RTC_Initialize @ 02c61a03
[ ] __SEH_prolog @ 02c61a8c
[ ] __SEH_epilog @ 02c61ac7
[ ] ExceptionUnwindHandler @ 02c61bc6
[ ] TlsAllocWrapper @ 02c61be1
[ ] __mtterm @ 02c61bea
[ ] __initptd @ 02c61c07
[ ] __getptd @ 02c61c1a
[ ] __freefls@4 @ 02c61c8b
[ ] UnlockFlsDataLock @ 02c61dbd
[ ] UnlockLocaleInfoLock @ 02c61dc9
[ ] __freeptd @ 02c61dd2
[ ] __mtinit @ 02c61e01
[ ] _free @ 02c61ef0
[ ] UnlockHeapCriticalSection @ 02c61f43
[ ] CallocWithFallback @ 02c61f61
[ ] UnlockHeapSehCleanup @ 02c62027
[ ] __ioinit @ 02c62038
[ ] __ioterm @ 02c62236
[ ] __setenvp @ 02c62282
[ ] parse_cmdline @ 02c62349
[ ] __setargv @ 02c624b5
[ ] ___crtGetEnvironmentStringsA @ 02c62557
[ ] ___heap_select @ 02c62679
[ ] __heap_init @ 02c62693
[ ] __heap_term @ 02c626e4
[ ] __chkstk @ 02c62770
[ ] __XcptFilter @ 02c627ad
[ ] HandleCppException @ 02c62911
[ ] DisplayRuntimeError @ 02c6292c
[ ] __FF_MSGBANNER @ 02c62aa4
[ ] ___crtInitCritSecNoSpinCount@8 @ 02c62add
[ ] ___crtInitCritSecAndSpinCount @ 02c62aed
[ ] GetThreadErrnoPointer @ 02c62b78
[ ] __heap_alloc @ 02c62b81
[ ] UnlockHeapCriticalSection @ 02c62bf3
[ ] __nh_malloc @ 02c62bfc
[ ] _malloc @ 02c62c28
[ ] __global_unwind2 @ 02c62c3c
[ ] __local_unwind2 @ 02c62c7e
[ ] SaveRegisterContext @ 02c62d12
[ ] ReallocateMemory @ 02c62d2a
[ ] UnlockHeapCriticalSection @ 02c62e92
[ ] __msize @ 02c62edc
[ ] UnlockHeapCriticalSection @ 02c62f49
[ ] __ValidateEH3RN @ 02c62f52
[ ] ___freetlocinfo @ 02c6317b
[ ] ___updatetlocinfo_lk @ 02c6324b
[ ] ___updatetlocinfo @ 02c6330c
[ ] UnlockThreadLocaleInfoLock @ 02c6333e
[ ] MapCodePageToLocaleId @ 02c63347
[ ] setSBCS @ 02c63376
[ ] InitializeCharacterTypeTables @ 02c6339f
[ ] SetMultiByteCodePage @ 02c6353a
[ ] __setmbcp @ 02c636ce
[ ] UnlockMultibyteCodePageSection @ 02c63815
[ ] ___initmbctable @ 02c6381e
[ ] ___sbh_heap_init @ 02c6383c
[ ] ___sbh_find_block @ 02c63884
[ ] ___sbh_free_block @ 02c638af
[ ] ___sbh_alloc_new_region @ 02c63bc7
[ ] ___sbh_alloc_new_group @ 02c63c7e
[ ] ___sbh_resize_block @ 02c63d84
[ ] ___sbh_alloc_block @ 02c64063
[ ] __callnewh @ 02c6435f
[ ] _memset @ 02c64380
[ ] OptimizedStringCopy @ 02c643e0
[ ] OptimizedStringCopy @ 02c643f0
[ ] _strlen @ 02c644e0
[ ] _memcpy @ 02c64570
[ ] ___crtMessageBoxA @ 02c648ad
[ ] _strncpy @ 02c649b0
[ ] report_failure @ 02c64ad4
[ ] ValidateSecurityCookie @ 02c64b05
[ ] ___free_lc_time @ 02c64b13
[ ] ___free_lconv_num @ 02c64ca3
[ ] ___free_lconv_mon @ 02c64d02
[ ] _strcspn @ 02c64de0
[ ] CompareMemoryAligned @ 02c64e30
[ ] CompareMemory @ 02c64ec0
[ ] ___crtGetStringTypeA @ 02c64f78
[ ] _strncmp @ 02c65140
[ ] _strpbrk @ 02c65180
[ ] LCMapStringWithEncoding @ 02c651c0
[ ] ___security_init_cookie @ 02c65596
[ ] ReportSecurityFailure @ 02c655fc
[ ] ___ascii_stricmp @ 02c65750
[ ] __resetstkoflw @ 02c6579e
[ ] _atol @ 02c65881
[ ] GetLocaleCodePage @ 02c65909
[ ] ConvertStringBetweenCodePages @ 02c65950
[ ] ___isctype_mt @ 02c65b2a
[ ] Multiply64Bit @ 02c65bb0
[ ] ___ascii_strnicmp @ 02c65bf0
[ ] Uint64Divide @ 02c65c60
[ ] DecrementCounter @ 02c65d00
[ ] RtlUnwind @ 02c65dce
[ ] send @ 02c65dd4
[ ] __WSAFDIsSet @ 02c65dda
[ ] socket @ 02c65de0
[ ] recv @ 02c65de6
[ ] getsockname @ 02c65dec
[ ] htons @ 02c65df2
[ ] WSAGetLastError @ 02c65df8
[ ] select @ 02c65dfe
[ ] inet_addr @ 02c65e04
[ ] WSAStartup @ 02c65e0a
[ ] inet_ntoa @ 02c65e10
[ ] connect @ 02c65e16
[ ] CopyMemoryWithAlignment @ 02c65e1c
[ ] CalculateStringLength @ 02c65e22
[ ] EnterCriticalSectionWithValidation @ 02c65e28
[ ] ResolveNetworkAddress @ 02c65e2e
[ ] AllocateMemoryWithTracking @ 02c65e34
[ ] CloseSocket @ 02c65e3a
[ ] CleanupAndAbort @ 02c65e40
[ ] InitializeModule @ 02c65e46
